VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-04-01 00:07:20,2020-04-01 00:19:00,1,4.36,1,N,238,246,1,15,0.5,0.5,10,0,0.3,28.8,2.5
2,2020-04-01 00:41:44,2020-04-01 00:53:21,1,3.12,1,N,238,186,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5
2,2020-04-01 00:27:36,2020-04-01 00:28:54,1,.53,1,N,75,75,2,3.5,0.5,0.5,0,0,0.3,4.8,0
2,2020-04-01 00:33:10,2020-04-01 01:19:38,1,23.97,1,N,90,64,1,68.5,0.5,0.5,0,6.12,0.3,75.92,0
1,2020-04-01 00:36:23,2020-04-01 00:46:17,1,2.50,1,N,41,42,2,10.5,0.5,0.5,0,0,0.3,11.8,0
1,2020-04-01 00:53:05,2020-04-01 00:55:07,2,.50,1,N,42,42,2,4,0.5,0.5,0,0,0.3,5.3,0
2,2020-04-01 00:45:37,2020-04-01 00:47:05,1,.00,1,N,132,132,2,3,0.5,0.5,0,0,0.3,4.3,0
1,2020-04-01 00:41:20,2020-04-01 01:00:47,1,11.40,1,N,234,243,1,32.5,3,0.5,3,0,0.3,39.3,2.5
1,2020-04-01 00:04:38,2020-04-01 00:09:29,0,.90,1,N,239,238,2,6,3,0.5,0,0,0.3,9.8,2.5
1,2020-04-01 00:48:41,2020-04-01 00:49:06,0,.00,1,N,100,100,3,2.5,3,0.5,0,0,0.3,6.3,2.5
1,2020-04-01 00:01:25,2020-04-01 00:10:01,1,1.90,1,N,48,234,2,9,3,0.5,0,0,0.3,12.8,2.5
2,2020-04-01 00:02:30,2020-04-01 00:14:35,1,4.77,1,N,132,139,2,15,0.5,0.5,0,0,0.3,16.3,0
2,2020-04-01 00:00:28,2020-04-01 00:07:59,1,3.25,1,N,107,236,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2020-04-01 00:43:14,2020-04-01 00:48:58,1,1.12,1,N,79,4,1,6,0.5,0.5,2.2,0,0.3,12,2.5
2,2020-04-01 00:20:55,2020-04-01 00:23:41,1,.57,1,N,68,100,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2020-04-01 00:19:56,2020-04-01 00:25:36,1,.00,5,N,137,137,2,-43.46,0,-0.5,0,0,-0.3,-46.76,-2.5
2,2020-04-01 00:19:56,2020-04-01 00:25:36,1,.00,5,N,137,137,2,43.46,0,0.5,0,0,0.3,46.76,2.5
2,2020-04-01 00:39:09,2020-04-01 00:57:52,1,5.78,1,N,137,166,1,19,0.5,0.5,2,0,0.3,24.8,2.5
1,2020-04-01 00:03:30,2020-04-01 00:20:15,1,5.30,1,N,48,7,2,18,3,0.5,0,0,0.3,21.8,2.5
1,2020-04-01 00:07:31,2020-04-01 00:23:51,1,.00,1,N,50,182,1,30.2,0,0.5,0,0,0.3,31,0
1,2020-04-01 00:38:51,2020-04-01 00:52:12,1,.00,1,N,254,147,1,22.2,0,0.5,0,0,0.3,23,0
2,2020-04-01 00:46:16,2020-04-01 01:03:28,1,11.73,1,N,132,138,1,32,0.5,0.5,6.66,0,0.3,39.96,0
1,2020-04-01 00:00:58,2020-04-01 00:03:01,1,.70,1,N,107,137,2,4,3,0.5,0,0,0.3,7.8,2.5
1,2020-04-01 00:04:51,2020-04-01 00:11:16,1,2.20,1,N,140,75,2,8.5,3,0.5,0,0,0.3,12.3,2.5
2,2020-04-01 00:41:07,2020-04-01 00:59:25,2,8.17,1,N,107,167,2,25,0.5,0.5,0,0,0.3,28.8,2.5
1,2020-04-01 00:51:42,2020-04-01 01:06:55,1,4.90,1,N,230,260,1,17,3,0.5,4.15,0,0.3,24.95,2.5
2,2020-04-01 00:04:22,2020-04-01 00:23:49,2,11.14,1,N,132,53,2,31,0.5,0.5,0,0,0.3,32.3,0
2,2020-04-01 00:01:14,2020-04-01 00:19:54,1,3.68,1,N,230,75,4,-13.5,-0.5,-0.5,0,0,-0.3,-17.3,-2.5
2,2020-04-01 00:01:14,2020-04-01 00:19:54,1,3.68,1,N,230,74,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,2020-04-01 00:09:35,2020-04-01 00:17:14,1,1.50,1,N,140,263,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
